City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Location,Hotel Name
caravelas,-17.71,-39.25,73.058,84.0,0.0,8.321639999999999,BR,08-18-2020,"(-17.71, -39.25)",Pousada dos Navegantes
sinnamary,5.38,-52.95,78.74600000000005,85.0,0.0,8.097940000000001,GF,08-18-2020,"(5.38, -52.95)",ALETHEIA Appartement Sinnamary
esmeraldas,-19.76,-44.31,73.4,60.0,0.0,8.0532,BR,08-19-2020,"(-19.76, -44.31)",Hotel Fazenda Lagoa Azul
marrakesh,31.63,-8.01,78.80000000000003,54.0,0.0,6.9347,MA,08-18-2020,"(31.63, -8.01)",Les Jardins de La Koutoubia
vrangel,42.73,133.08,74.89400000000008,83.0,0.0,5.88331,RU,08-19-2020,"(42.73, 133.08)","Отель ""БАЛИ"""
zaozerne,45.16,33.28,70.75400000000005,67.0,0.0,4.384519999999999,UA,08-19-2020,"(45.16, 33.28)","Molodozhnyy Lager' ""Pioner"""
suez,29.97,32.53,73.16600000000003,80.0,0.0,7.538690000000001,EG,08-19-2020,"(29.97, 32.53)",Green House
daru,-9.08,143.21,78.36800000000008,64.0,0.0,9.82043,PG,08-19-2020,"(-9.08, 143.21)",New century hotel
buritizeiro,-17.35,-44.96,74.12000000000006,48.0,0.0,6.711,BR,08-19-2020,"(-17.35, -44.96)",Santos Palace Hotel
gat,31.61,34.76,77.0,92.0,0.0,4.0042300000000015,IL,08-19-2020,"(31.61, 34.76)",רגע בנחת
