City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
hermanus,-34.42,19.23,42.008,93.0,69.0,5.45828,ZA,08-18-2020
port alfred,-33.59,26.89,54.91400000000003,67.0,100.0,30.333720000000003,ZA,08-18-2020
takab,36.4,47.11,60.674000000000014,63.0,0.0,5.391170000000001,IR,08-18-2020
griffith,41.53,-87.42,71.99600000000005,43.0,1.0,11.4087,US,08-18-2020
alice springs,-23.7,133.88,60.8,25.0,0.0,9.1717,AU,08-18-2020
new norfolk,-42.78,147.06,48.00200000000008,81.0,44.0,2.99758,AU,08-18-2020
punta arenas,-53.15,-70.92,32.0,87.0,75.0,9.1717,CL,08-18-2020
busselton,-33.65,115.33,41.0,81.0,13.0,2.21463,AU,08-18-2020
mataura,-46.19,168.86,51.22400000000002,73.0,100.0,4.63059,NZ,08-18-2020
albany,42.6,-73.97,73.00400000000005,48.0,7.0,1.00665,US,08-18-2020
rikitea,-23.12,-134.97,71.94200000000001,80.0,9.0,11.431070000000002,PF,08-18-2020
jumla,29.27,82.18,61.268000000000086,71.0,50.0,2.9081,NP,08-18-2020
hithadhoo,-0.6,73.08,83.76800000000009,75.0,12.0,10.17835,MV,08-18-2020
caravelas,-17.71,-39.25,73.058,84.0,0.0,8.32164,BR,08-18-2020
ugoofaaru,5.67,73.0,81.89600000000004,69.0,30.0,5.61487,MV,08-18-2020
sinnamary,5.38,-52.95,78.74600000000005,85.0,0.0,8.097940000000001,GF,08-18-2020
alyangula,-13.85,136.42,75.2,73.0,75.0,8.74667,AU,08-18-2020
tezu,27.92,96.17,74.76800000000009,76.0,34.0,2.79625,IN,08-18-2020
richards bay,-28.78,32.04,57.72200000000004,50.0,51.0,8.20979,ZA,08-18-2020
ushuaia,-54.8,-68.3,32.0,91.0,40.0,17.2249,AR,08-18-2020
hobart,-42.88,147.33,50.0,75.0,40.0,8.0532,AU,08-18-2020
saint anthony,45.02,-93.22,80.99600000000005,41.0,1.0,4.6977,US,08-18-2020
cidreira,-30.18,-50.21,62.47400000000002,95.0,100.0,11.699510000000002,BR,08-18-2020
saint george,37.1,-113.58,109.99400000000007,10.0,1.0,8.0532,US,08-18-2020
jamestown,42.1,-79.24,66.99199999999999,59.0,1.0,9.1717,US,08-18-2020
puerto leguizamo,-0.19,-74.78,82.31000000000009,65.0,72.0,0.51451,CO,08-18-2020
petropavlovka,50.61,105.32,57.83000000000004,70.0,3.0,1.07376,RU,08-18-2020
constitucion,-35.33,-72.42,48.254000000000055,75.0,98.0,10.53627,CL,08-18-2020
puerto carreno,6.19,-67.49,84.2,70.0,40.0,2.237,CO,08-18-2020
cape town,-33.93,18.42,50.0,87.0,75.0,3.3555,ZA,08-18-2020
yellowknife,62.46,-114.35,66.2,63.0,75.0,10.2902,CA,08-18-2020
touros,-5.2,-35.46,75.2,88.0,40.0,5.8162,BR,08-18-2020
provideniya,64.38,-173.3,55.400000000000006,62.0,90.0,8.948,RU,08-18-2020
fare,-16.7,-151.02,78.47600000000008,75.0,0.0,19.50664,PF,08-18-2020
severo-kurilsk,50.68,156.12,52.03399999999999,86.0,97.0,12.43772,RU,08-18-2020
guerrero negro,27.98,-114.06,85.22600000000008,46.0,2.0,17.336750000000002,MX,08-18-2020
jiayuguan,39.82,98.3,68.97200000000004,24.0,0.0,2.5054400000000006,CN,08-18-2020
riyadh,24.69,46.72,80.6,18.0,3.0,5.8162,SA,08-18-2020
mancio lima,-7.61,-72.9,83.96600000000001,58.0,58.0,2.81862,BR,08-18-2020
adrar,20.5,-10.07,100.11200000000007,12.0,1.0,12.460090000000001,MR,08-18-2020
