,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,carnarvon,-24.87,113.63,51.8,100.0,17.0,3.1,AU,08-17-2020
1,korla,41.76,86.15,80.00600000000003,45.0,49.0,2.24,CN,08-17-2020
2,qaanaaq,77.48,-69.36,42.188000000000045,62.0,100.0,3.12,GL,08-17-2020
3,okato,-39.2,173.88,53.99600000000005,58.0,92.0,2.68,NZ,08-17-2020
4,kahului,20.89,-156.47,87.80000000000001,48.0,20.0,9.8,US,08-17-2020
5,kapaa,22.08,-159.32,84.2,62.0,20.0,6.7,US,08-17-2020
6,arraial do cabo,-22.97,-42.03,75.2,88.0,98.0,1.5,BR,08-17-2020
7,ushuaia,-54.8,-68.3,33.8,86.0,75.0,5.1,AR,08-17-2020
8,saint george,37.1,-113.58,111.00200000000008,6.0,1.0,1.5,US,08-17-2020
9,adrar,20.5,-10.07,102.992,20.0,0.0,5.95,MR,08-17-2020
10,jamestown,42.1,-79.24,73.00400000000005,64.0,90.0,4.1,US,08-17-2020
12,avarua,-21.21,-159.78,73.4,64.0,5.0,4.1,CK,08-17-2020
13,dikson,73.51,80.55,50.46800000000009,92.0,68.0,6.08,RU,08-17-2020
14,hasaki,35.73,140.83,80.6,94.0,75.0,3.6,JP,08-17-2020
15,norman wells,65.28,-126.83,59.0,58.0,75.0,5.1,CA,08-17-2020
16,mar del plata,-38.0,-57.56,59.0,44.0,0.0,5.7,AR,08-17-2020
17,baykit,61.67,96.37,54.104000000000056,64.0,100.0,1.24,RU,08-17-2020
18,kulu,39.1,33.08,62.51000000000008,34.0,0.0,2.59,TR,08-17-2020
19,moscow,55.75,37.62,62.99600000000005,77.0,0.0,1.0,RU,08-17-2020
20,kindu,-2.95,25.95,75.92000000000007,63.0,67.0,1.05,CD,08-17-2020
21,araouane,18.9,-3.53,103.42400000000002,24.0,64.0,4.45,ML,08-17-2020
22,clyde river,70.47,-68.59,50.0,87.0,75.0,9.3,CA,08-17-2020
24,mataura,-46.19,168.86,35.00600000000003,97.0,98.0,1.79,NZ,08-17-2020
25,haapsalu,58.94,23.54,50.0,98.0,100.0,0.62,EE,08-17-2020
27,shadegan,30.65,48.66,91.4,27.0,0.0,4.1,IR,08-17-2020
28,nuristan,35.3,70.83,46.958000000000006,81.0,0.0,1.42,AF,08-17-2020
29,beloha,-25.17,45.05,64.68800000000005,94.0,27.0,3.81,MG,08-17-2020
31,rikitea,-23.12,-134.97,71.40200000000007,78.0,0.0,4.67,PF,08-17-2020
32,lompoc,34.64,-120.46,77.0,64.0,1.0,7.2,US,08-17-2020
33,neuquen,-38.95,-68.06,62.6,25.0,97.0,5.7,AR,08-17-2020
34,provideniya,64.38,-173.3,50.0,76.0,75.0,4.0,RU,08-17-2020
35,ornskoldsvik,63.29,18.72,50.0,87.0,0.0,1.5,SE,08-17-2020
36,butaritari,3.07,172.79,81.68000000000004,62.0,0.0,3.55,KI,08-17-2020
37,middelkerke,51.16,2.84,62.6,93.0,20.0,1.5,BE,08-17-2020
38,north bend,43.41,-124.22,84.00200000000008,82.0,20.0,6.7,US,08-17-2020
39,caico,-6.46,-37.1,83.62400000000002,44.0,56.0,9.8,BR,08-17-2020
40,paamiut,61.99,-49.67,48.50600000000003,64.0,0.0,6.13,GL,08-17-2020
41,atuona,-9.8,-139.03,78.40400000000005,74.0,2.0,7.09,PF,08-17-2020
42,cherskiy,68.75,161.3,42.02600000000009,91.0,100.0,5.68,RU,08-17-2020
43,mahebourg,-20.41,57.7,69.80000000000001,77.0,40.0,3.6,MU,08-17-2020
44,danielskuil,-28.19,23.54,43.898000000000025,53.0,21.0,8.43,ZA,08-17-2020
46,khatanga,71.97,102.5,58.62200000000004,87.0,100.0,3.12,RU,08-17-2020
47,aksu,41.12,80.26,77.234,31.0,55.0,2.15,CN,08-17-2020
49,tasiilaq,65.61,-37.64,48.2,87.0,20.0,1.0,GL,08-17-2020
